Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
256.0,Daniel Gafford,27.0,DAL,C,29.0,20.0,602.0,16.2,0.67,0.0,0.479,10.6,22.2,16.5,5.5,1.8,5.3,18.7,14.6,0.7,1.1,1.8,0.147,-2.4,2.1,-0.2,0.3,
257.0,Luka Garza,27.0,BOS,C,36.0,1.0,597.0,20.3,0.699,0.312,0.376,16.2,12.3,14.3,8.1,1.2,3.0,7.5,15.5,2.4,0.6,3.0,0.243,2.5,0.0,2.4,0.7,
258.0,Mitchell Robinson,27.0,NYK,C,31.0,13.0,597.0,20.5,0.629,0.0,0.552,27.0,24.8,25.9,7.1,2.1,6.2,15.6,9.9,1.7,1.0,2.7,0.217,2.0,0.5,2.5,0.7,
259.0,Jaylen Clark,24.0,MIN,SG,42.0,0.0,590.0,10.0,0.526,0.418,0.362,7.4,8.1,7.7,5.4,2.6,1.0,7.9,12.7,0.4,0.7,1.1,0.092,-3.5,0.9,-2.6,-0.1,
260.0,Jalen Pickett,26.0,DEN,SG,31.0,13.0,586.0,11.6,0.558,0.529,0.065,3.0,13.6,8.6,20.1,1.0,0.5,12.9,15.0,0.6,0.3,0.9,0.074,-0.6,-0.9,-1.5,0.1,
261.0,Jalen Suggs,24.0,ORL,PG,23.0,23.0,584.0,18.3,0.601,0.518,0.272,3.2,12.8,7.9,28.3,3.5,1.8,17.5,25.1,0.5,0.9,1.4,0.116,1.5,2.2,3.7,0.9,
262.0,Hugo GonzÃ¡lez,19.0,BOS,SF,39.0,2.0,583.0,10.6,0.595,0.433,0.134,6.7,18.5,12.6,5.1,2.0,1.9,15.1,11.7,0.4,0.8,1.2,0.096,-2.9,1.0,-1.9,0.0,
263.0,Alex Caruso,31.0,OKC,SG,32.0,0.0,582.0,13.6,0.538,0.613,0.167,3.6,13.0,8.5,14.8,3.7,2.0,12.2,15.3,0.3,1.4,1.7,0.138,-0.8,3.6,2.7,0.7,
264.0,Daniss Jenkins,24.0,DET,PG,35.0,7.0,572.0,14.6,0.545,0.403,0.235,3.7,8.0,5.9,28.2,2.8,1.0,17.0,21.6,0.4,0.9,1.3,0.108,-0.2,0.8,0.6,0.4,
265.0,Adem Bona,22.0,PHI,C,34.0,3.0,571.0,12.0,0.644,0.062,0.753,11.5,14.5,13.0,2.1,0.9,7.4,19.4,9.9,0.6,0.7,1.3,0.111,-3.3,0.7,-2.6,-0.1,
266.0,Isaiah Jackson,24.0,IND,C,33.0,14.0,569.0,15.3,0.618,0.007,0.43,14.1,21.0,17.4,6.6,1.8,3.7,17.8,16.2,0.6,0.7,1.3,0.111,-3.0,0.2,-2.8,-0.1,
267.0,Ja Morant,26.0,MEM,PG,20.0,20.0,569.0,16.6,0.521,0.264,0.363,1.5,10.5,6.0,44.9,1.7,1.0,16.0,32.2,0.0,0.5,0.6,0.05,0.4,-1.8,-1.4,0.1,
268.0,T.J. McConnell,33.0,IND,PG,33.0,0.0,568.0,20.8,0.559,0.126,0.047,2.7,11.6,7.0,50.4,3.3,1.1,12.6,24.1,0.9,0.7,1.5,0.129,2.0,1.4,3.4,0.8,
269.0,Bryce McGowens,23.0,NOP,SG,29.0,11.0,563.0,11.5,0.606,0.359,0.438,1.9,9.7,5.7,9.1,1.4,0.7,7.6,14.6,0.8,0.1,0.9,0.077,-2.1,-1.4,-3.5,-0.2,
270.0,Nae'Qwan Tomlin,25.0,CLE,PF,35.0,2.0,561.0,13.9,0.54,0.359,0.215,9.5,12.1,10.8,6.7,2.1,3.9,5.3,15.4,0.7,0.7,1.4,0.118,-1.7,0.7,-1.1,0.1,
271.0,Jaylin Williams,23.0,OKC,PF,31.0,4.0,558.0,11.5,0.521,0.777,0.277,3.3,23.8,14.1,16.8,1.5,2.8,15.3,15.2,0.1,1.3,1.4,0.119,-1.6,2.4,0.8,0.4,
272.0,Cody Williams,21.0,UTA,SG,32.0,9.0,557.0,7.8,0.511,0.348,0.128,4.8,9.0,6.9,6.6,1.0,1.6,8.5,14.0,0.0,-0.1,-0.1,-0.008,-3.6,-2.5,-6.2,-0.6,
273.0,Danny Wolf,21.0,BRK,PF,29.0,4.0,553.0,11.9,0.514,0.455,0.172,5.8,20.5,12.8,14.4,1.6,1.8,12.0,19.1,0.0,0.5,0.5,0.04,-2.3,-0.4,-2.7,-0.1,
274.0,Gary Payton II,33.0,GSW,SG,43.0,1.0,549.0,14.6,0.584,0.271,0.079,9.6,18.0,13.8,17.9,2.0,2.3,17.2,17.0,0.5,0.8,1.2,0.108,-1.4,1.2,-0.1,0.3,
