Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,1/2 Court,1/2 Court,Unnamed: 30_level_0
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards
64.0,Tim Hardaway Jr.,33.0,DEN,SG,45.0,5.0,1223.0,0.443,20.7,0.307,0.07,0.094,0.079,0.064,0.693,0.557,0.656,0.465,0.556,0.586,0.392,0.782,0.903,0.026,10.0,0.174,0.4,0.0,0.0,
65.0,Nic Claxton,26.0,BRK,C,41.0,39.0,1222.0,0.584,4.5,0.967,0.51,0.388,0.05,0.019,0.033,0.598,0.724,0.482,0.167,0.714,0.167,0.581,1.0,0.251,81.0,0.083,0.0,0.0,0.0,
66.0,Kris Dunn,31.0,LAC,PG,44.0,38.0,1211.0,0.487,14.9,0.52,0.175,0.257,0.082,0.007,0.48,0.593,0.787,0.522,0.455,0.0,0.372,0.53,1.0,0.026,6.0,0.426,0.455,0.0,0.0,
67.0,Norman Powell,32.0,MIA,SG,39.0,39.0,1204.0,0.484,15.1,0.55,0.2,0.217,0.09,0.044,0.45,0.549,0.638,0.5,0.509,0.464,0.406,0.552,0.853,0.014,8.0,0.168,0.313,1.0,1.0,
68.0,Dillon Brooks,30.0,PHO,SF,39.0,39.0,1203.0,0.435,16.7,0.583,0.098,0.162,0.23,0.094,0.417,0.5,0.723,0.523,0.421,0.419,0.344,0.301,0.821,0.008,4.0,0.159,0.273,0.0,0.0,
69.0,Max Christie,22.0,DAL,SG,41.0,32.0,1199.0,0.485,17.5,0.381,0.155,0.149,0.053,0.024,0.619,0.531,0.707,0.375,0.45,0.556,0.457,0.526,0.943,0.045,16.0,0.422,0.49,0.0,0.0,
70.0,Derik Queen,21.0,NOP,C,46.0,34.0,1196.0,0.49,7.7,0.906,0.412,0.303,0.096,0.096,0.094,0.521,0.654,0.419,0.395,0.395,0.19,0.377,0.75,0.091,36.0,0.286,0.25,0.0,0.0,
71.0,Saddiq Bey,26.0,NOP,SF,40.0,32.0,1195.0,0.45,13.4,0.581,0.289,0.188,0.074,0.029,0.419,0.534,0.607,0.495,0.444,0.286,0.335,0.467,0.926,0.054,26.0,0.33,0.299,0.0,0.0,
72.0,Myles Turner,29.0,MIL,C,42.0,42.0,1190.0,0.426,18.3,0.398,0.15,0.135,0.068,0.045,0.602,0.484,0.633,0.389,0.333,0.5,0.388,0.727,1.0,0.04,14.0,0.183,0.455,0.0,0.0,
73.0,Ivica Zubac,28.0,LAC,C,38.0,37.0,1187.0,0.603,4.1,1.0,0.47,0.448,0.083,0.0,0.0,0.603,0.707,0.508,0.515,,,0.639,,0.198,69.0,,,0.0,0.0,
74.0,Lauri Markkanen,28.0,UTA,PF,33.0,33.0,1187.0,0.483,14.0,0.595,0.205,0.26,0.078,0.052,0.405,0.563,0.737,0.521,0.451,0.265,0.365,0.725,0.948,0.091,54.0,0.213,0.482,0.0,0.0,
75.0,Duncan Robinson,31.0,DET,SF,41.0,41.0,1183.0,0.438,21.2,0.21,0.074,0.111,0.021,0.003,0.79,0.57,0.714,0.524,0.375,0.0,0.403,0.711,0.967,0.003,1.0,0.268,0.388,0.0,0.0,
76.0,Jimmy Butler,36.0,GSW,SF,38.0,38.0,1182.0,0.519,9.3,0.816,0.342,0.303,0.121,0.05,0.184,0.552,0.741,0.479,0.375,0.13,0.376,0.505,0.719,0.067,30.0,0.435,0.432,0.0,0.0,
